frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"5457","218.985000000","10.8.0.2","122.13.172.153","17","120"
"5458","218.991000000","122.13.172.153","10.8.0.2","17","192"
"5459","219.068000000","10.8.0.2","122.13.172.153","17","113"
"5460","219.069000000","122.13.172.153","10.8.0.2","17","172"
"5461","219.141000000","10.8.0.2","122.13.172.153","17","101"
"5462","219.151000000","122.13.172.153","10.8.0.2","17","186"
"5463","219.225000000","10.8.0.2","122.13.172.153","17","120"
"5464","219.234000000","122.13.172.153","10.8.0.2","17","176"
"5465","219.306000000","10.8.0.2","122.13.172.153","17","113"
"5466","219.308000000","122.13.172.153","10.8.0.2","17","175"
"5467","219.383000000","10.8.0.2","122.13.172.153","17","101"
"5468","219.388000000","122.13.172.153","10.8.0.2","17","196"
"5469","219.463000000","10.8.0.2","122.13.172.153","17","120"
"5470","219.475000000","122.13.172.153","10.8.0.2","17","208"
"5471","219.538000000","10.8.0.2","122.13.172.153","17","96"
"5472","219.554000000","122.13.172.153","10.8.0.2","17","212"
"5473","219.621000000","10.8.0.2","122.13.172.153","17","118"
"5474","219.624000000","122.13.172.153","10.8.0.2","17","156"
"5475","219.693000000","10.8.0.2","122.13.172.153","17","103"
"5476","219.706000000","122.13.172.153","10.8.0.2","17","194"
"5477","219.779000000","10.8.0.2","122.13.172.153","17","113"
"5478","219.788000000","122.13.172.153","10.8.0.2","17","218"
"5479","219.868000000","122.13.172.153","10.8.0.2","17","199"
"5480","219.868000000","10.8.0.2","122.13.172.153","17","125"
"5481","219.940000000","10.8.0.2","122.13.172.153","17","96"
"5482","219.951000000","122.13.172.153","10.8.0.2","17","205"
"5483","220.018000000","10.8.0.2","122.13.172.153","17","113"
"5484","220.033000000","122.13.172.153","10.8.0.2","17","196"
"5485","220.109000000","10.8.0.2","122.13.172.153","17","125"
"5486","220.115000000","122.13.172.153","10.8.0.2","17","186"
"5487","220.176000000","10.8.0.2","122.13.172.153","17","96"
"5488","220.191000000","122.13.172.153","10.8.0.2","17","189"
"5489","220.266000000","10.8.0.2","122.13.172.153","17","113"
"5490","220.268000000","10.8.0.2","122.13.172.153","17","406"
"5491","220.269000000","122.13.172.153","10.8.0.2","17","176"
"5492","220.277000000","122.13.172.153","10.8.0.2","17","55"
"5493","220.336000000","10.8.0.2","122.13.172.153","17","108"
"5494","220.351000000","122.13.172.153","10.8.0.2","17","189"
"5495","220.418000000","10.8.0.2","122.13.172.153","17","113"
"5496","220.437000000","122.13.172.153","10.8.0.2","17","160"
"5497","220.504000000","10.8.0.2","122.13.172.153","17","120"
"5498","220.515000000","122.13.172.153","10.8.0.2","17","196"
"5499","220.516000000","10.8.0.2","183.236.60.120","6","114"
"5500","220.525000000","183.236.60.120","10.8.0.2","6","114"
"5501","220.526000000","10.8.0.2","183.236.60.120","6","68"
"5502","220.581000000","10.8.0.2","122.13.172.153","17","101"
"5503","220.589000000","122.13.172.153","10.8.0.2","17","154"
"5504","220.663000000","10.8.0.2","122.13.172.153","17","113"
"5505","220.672000000","122.13.172.153","10.8.0.2","17","183"
"5506","220.747000000","10.8.0.2","122.13.172.153","17","120"
"5507","220.749000000","122.13.172.153","10.8.0.2","17","168"
"5508","220.788000000","10.8.0.2","103.97.83.153","6","180"
"5509","220.791000000","10.8.0.2","103.97.83.153","6","244"
"5510","220.793000000","103.97.83.153","10.8.0.2","6","68"
"5511","220.805000000","103.97.83.153","10.8.0.2","6","116"
"5512","220.806000000","10.8.0.2","103.97.83.153","6","68"
"5513","220.817000000","103.97.83.153","10.8.0.2","6","116"
"5514","220.818000000","10.8.0.2","103.97.83.153","6","68"
"5515","220.819000000","10.8.0.2","122.13.172.153","17","101"
"5516","220.833000000","122.13.172.153","10.8.0.2","17","216"
"5517","220.904000000","10.8.0.2","122.13.172.153","17","113"
